Date,Open,High,Low,Close,Adj Close,Volume
05/11/2008,3.720483099078672,3.7881400313471576,3.22948780319717,3.2861902713775635,3.2861902713775635,229200
06/11/2008,3.208868639137093,3.2455967560736063,2.746868821487917,2.7835967540740967,2.7835967540740967,4332000
07/11/2008,2.8667170284972805,3.0058968691333328,2.792616886793008,2.9801230430603027,2.9801230430603027,6978000
10/11/2008,3.208867947395807,3.2178889446689802,2.77135381970366,2.864140272140503,2.864140272140503,5785200
11/11/2008,2.738492679265085,2.851253886607285,2.5451873310205233,2.6747019290924072,2.6747019290924072,11479200
12/11/2008,2.5728935740985754,2.5728935740985754,2.3331948666519513,2.3770110607147217,2.3770110607147217,13312800
13/11/2008,2.3596140609364666,2.732048564265287,1.9826686892406218,2.7204501628875732,2.7204501628875732,32067600
14/11/2008,2.5290770200556345,2.7707086059654427,2.351881015322495,2.3718557357788086,2.3718557357788086,34303200
17/11/2008,2.2861583244328747,2.451756198128151,2.1907938826202438,2.2043251991271973,2.2043251991271973,44524800
18/11/2008,2.1933706192463274,2.3157968886409344,2.0071527080861276,2.224299430847168,2.224299430847168,61130400
19/11/2008,2.2230114220135992,2.297111593817002,1.8299575112266422,1.866040587425232,1.866040587425232,75193200
20/11/2008,1.79709498536768,1.9311196646779472,1.427881937382138,1.5438650846481323,1.5438650846481323,137044800
21/11/2008,1.7526351147359671,1.7552123322551036,1.3963085227942615,1.7184844017028809,1.7184844017028809,124576800
24/11/2008,1.8338229426026513,2.163086001528775,1.7912959137458062,2.008441925048828,2.008441925048828,98185200
25/11/2008,2.191438774405205,2.200459222066529,1.9523842833801845,2.1205599308013916,2.1205599308013916,80054400
26/11/2008,2.000710620571137,2.3544594271468484,1.9916894355292416,2.3415720462799072,2.3415720462799072,61237200
28/11/2008,2.3132200688602946,2.4163159326495878,2.3035547682596413,2.411160945892334,2.411160945892334,21645600
01/12/2008,2.221077504080893,2.228165587646537,1.7642330142169413,1.7848516702651978,1.7848516702651978,101854800
02/12/2008,1.873772506390662,1.9897557669740786,1.7861410331426262,1.9736472368240356,1.9736472368240356,109262400
03/12/2008,1.8467095090223207,2.154709779037319,1.8299568622590758,2.1218478679656982,2.1218478679656982,136166400
04/12/2008,2.0458140895858934,2.18499395110742,1.8583079051812266,1.9523835182189941,1.9523835182189941,109459200
05/12/2008,1.8673295543091524,2.1779071495135316,1.7655218958405852,2.1508443355560303,2.1508443355560303,167187600
08/12/2008,2.3454372837259316,2.479462708540954,2.2996889161928054,2.3905422687530518,2.3905422687530518,142784400
09/12/2008,2.3293292503903067,2.4775301377547256,2.2262333576352935,2.255873203277588,2.255873203277588,126266400
10/12/2008,2.333839056335576,2.411806145109049,2.2391195025901767,2.326751708984375,2.326751708984375,125726400
11/12/2008,2.2842241811667057,2.395052433601266,2.104450400025402,2.154709815979004,2.154709815979004,113610000
12/12/2008,1.9665585815314102,2.2307426394501166,1.945939742657832,2.2120561599731445,2.2120561599731445,142026000
