Date,Open,High,Low,Close,Adj Close,Volume
19/10/2023,1501.8679226388497,1542.283203125,1488.5498783137223,1542.283203125,1542.283203125,25
20/10/2023,1562.0553532137167,1604.8269156714587,1525.7380843520357,1600.677734375,1600.677734375,82
23/10/2023,1613.5348318294518,1618.14495219179,1457.8158938830857,1474.56591796875,1474.56591796875,372
24/10/2023,1485.4764921922308,1485.4764921922308,1425.6988525390625,1425.6988525390625,1425.6988525390625,62
25/10/2023,1440.3999514284346,1559.9040640015585,1440.3999514284346,1549.7618408203125,1549.7618408203125,48
26/10/2023,1548.9933922386201,1672.4415865103415,1517.7471843595058,1657.0233154296875,1657.0233154296875,305
27/10/2023,1593.55771946697,1670.9049242065228,1593.55771946697,1647.1373291015625,1647.1373291015625,95
30/10/2023,1585.874274583346,1629.926317502358,1554.6280641532408,1586.8988037109375,1586.8988037109375,87
31/10/2023,1654.5134755271129,1734.9340578841113,1615.0715551026742,1621.013427734375,1621.013427734375,633
01/11/2023,1600.7289132569783,1600.7289132569783,1497.1553955078125,1497.1553955078125,1497.1553955078125,282
02/11/2023,1433.2288286716532,1462.42608536277,1403.0070428423455,1415.2493896484375,1415.2493896484375,322
03/11/2023,1391.2255963219634,1391.2255963219634,1305.6826784838597,1321.5618896484375,1321.5618896484375,272
06/11/2023,1272.3874730750376,1306.194848306015,1272.3874730750376,1278.329345703125,1278.329345703125,183
07/11/2023,1284.1687870018352,1286.2177409578437,1254.4593193891571,1266.189453125,1266.189453125,190
08/11/2023,1249.0297540116615,1249.337081496286,1218.4493666148408,1232.996826171875,1232.996826171875,100
09/11/2023,1170.555555046601,1220.6520185847178,1155.547156590906,1212.353759765625,1212.353759765625,415
10/11/2023,1187.8689354214803,1190.942314098911,1137.5675924228854,1140.231201171875,1140.231201171875,295
13/11/2023,1144.3291619196411,1147.9147531738013,1105.9116661359521,1128.449951171875,1128.449951171875,313
14/11/2023,1091.5692045082244,1105.3995669355706,1078.763371268536,1079.48046875,1079.48046875,393
15/11/2023,1082.7074089063779,1137.1578290663024,1074.4092551651213,1117.027099609375,1117.027099609375,640
16/11/2023,1119.9466963715179,1127.1692557251688,1086.4466517215149,1088.49560546875,1088.49560546875,237
17/11/2023,1091.5690642892548,1100.7893047230873,1079.2754451155197,1095.2572021484375,1095.2572021484375,132
20/11/2023,1079.2755483129067,1103.3505765414027,1040.345837385496,1046.8511962890625,1046.8511962890625,407
21/11/2023,1050.0781978061596,1085.9345265117356,1050.0781978061596,1064.9329833984375,1064.9329833984375,487
22/11/2023,1072.6165367314782,1156.8277026335895,1051.1539492421464,1114.6708984375,1114.6708984375,1047
24/11/2023,1111.5461125731804,1154.0615124816727,1111.5461125731804,1153.0882568359375,1153.0882568359375,245
27/11/2023,1163.281831560119,1166.3552105915403,1131.0623645488809,1139.6678466796875,1139.6678466796875,145
28/11/2023,1150.5270896211066,1174.0385240643748,1145.8656963522233,1162.6669921875,1162.6669921875,450
29/11/2023,1137.6699607268458,1151.5003201947031,1114.1072534507111,1144.0728759765625,1144.0728759765625,68
30/11/2023,1156.5714996192614,1222.1885694330726,1156.5714996192614,1209.2291259765625,1209.2291259765625,228
01/12/2023,1239.0922941749902,1239.0922941749902,1187.8689674560085,1210.3048095703125,1210.3048095703125,157
04/12/2023,1250.3614792286792,1299.5358557667885,1250.3614792286792,1275.97314453125,1275.97314453125,547
05/12/2023,1270.3385901215786,1270.8508025812207,1217.066305822041,1219.0128173828125,1219.0128173828125,468
06/12/2023,1182.64417544758,1276.99755859375,1174.0385899843734,1276.99755859375,1276.99755859375,373
07/12/2023,1273.9241840324198,1273.9241840324198,1211.4317626953125,1211.4317626953125,1211.4317626953125,412
08/12/2023,1175.5753428813932,1176.5997677254875,1155.0860122865106,1164.357421875,1164.357421875,240
11/12/2023,1160.720615178828,1242.6779416410807,1160.720615178828,1210.0487060546875,1210.0487060546875,238
12/12/2023,1219.1151357426259,1219.1151357426259,1157.4422607421875,1157.4422607421875,1157.4422607421875,168
13/12/2023,1111.5462131973968,1137.9774169921875,1110.1631875154399,1137.9774169921875,1137.9774169921875,203
14/12/2023,1122.8153000451618,1160.2083709034173,1121.3298318809145,1124.91552734375,1124.91552734375,220
15/12/2023,1114.6195871048005,1114.6195871048005,1078.2510453721288,1095.15478515625,1095.15478515625,138
18/12/2023,1056.2762231045808,1060.8350699788573,1029.0766492642442,1039.2188720703125,1039.2188720703125,707
19/12/2023,1070.5675230759841,1092.08127850478,1064.420765586078,1065.4451904296875,1065.4451904296875,58
20/12/2023,1062.884143359906,1125.3765669705929,1050.078310307377,1122.9691162109375,1122.9691162109375,152
21/12/2023,1089.007960068159,1108.4215935356037,1088.905517578125,1088.905517578125,1088.905517578125,128
22/12/2023,1079.8388859205718,1111.5461361344326,1078.7631877742797,1094.9498291015625,1094.9498291015625,147
26/12/2023,1074.8206454531637,1077.5577392578125,1060.0518473938585,1077.5577392578125,1077.5577392578125,362
27/12/2023,1072.5969371816923,1085.1420004781837,1070.3160060356959,1072.0267333984375,1072.0267333984375,158
28/12/2023,1071.399403098604,1072.1407259900202,1052.0687416303292,1068.6053466796875,1068.6053466796875,418
29/12/2023,1053.779486059253,1099.397643620035,1050.3580314318153,1068.7763671875,1068.7763671875,237
02/01/2024,1077.158699795276,1148.4940287971438,1077.158699795276,1131.8433837890625,1131.8433837890625,203
03/01/2024,1149.5205528162342,1160.98205425615,1127.3386407932092,1154.25341796875,1154.25341796875,238
04/01/2024,1135.892065983669,1141.0241318627193,1112.9119842996934,1134.694580078125,1134.694580078125,112
05/01/2024,1114.1094829571703,1114.2235237107666,1065.7542312116907,1084.8568115234375,1084.8568115234375,192
08/01/2024,1065.1839714740488,1065.1839714740488,947.0899047851562,947.0899047851562,947.0899047851562,623
09/01/2024,940.3042379791983,960.2621806821585,872.5042299597185,913.6746215820312,913.6746215820312,882
10/01/2024,896.9669647075626,896.9669647075626,866.1747447621342,871.8770141601562,871.8770141601562,612
11/01/2024,852.4893196587547,894.1158768434701,842.852469949751,858.1915893554688,858.1915893554688,1635
12/01/2024,868.3986534455876,871.8770704867309,854.1999994069663,859.9592895507812,859.9592895507812,1022
16/01/2024,853.6297638856056,853.6297638856056,796.6640887175155,810.29248046875,810.29248046875,2092
17/01/2024,810.2924818840231,850.4935287175061,810.2924818840231,818.8458862304688,818.8458862304688,480
18/01/2024,785.7726855467275,813.4287260194695,774.9384088514785,788.9659423828125,788.9659423828125,1172
19/01/2024,766.3850858305257,780.0704985735601,721.451171875,721.451171875,721.451171875,2123
22/01/2024,709.9325809760984,727.609593926322,703.660107479306,717.3455200195312,717.3455200195312,1242
23/01/2024,741.2950285208738,741.2950285208738,712.0423583984375,712.0423583984375,712.0423583984375,277
24/01/2024,709.9325499715685,709.9325499715685,643.7292268585188,675.7189331054688,675.7189331054688,1467
25/01/2024,658.0419469084776,687.1234991902849,650.6289498896168,672.7537841796875,672.7537841796875,753
26/01/2024,687.6936907534491,694.4223851251834,671.7273474701947,683.7021484375,683.7021484375,2027
29/01/2024,680.8509912372949,685.4127951672189,654.2213745117188,654.2213745117188,654.2213745117188,2115
30/01/2024,643.7862895397534,655.7610330272203,631.811488045798,647.77783203125,647.77783203125,3272
31/01/2024,674.0082631234876,687.6936750510118,659.7525894449302,672.3546142578125,672.3546142578125,2880
01/02/2024,658.612118326823,671.7273263978351,638.6541753472222,641.5053100585938,641.5053100585938,2485
02/02/2024,621.5474050800651,623.828336191211,569.6567733631318,576.4994506835938,576.4994506835938,2200
05/02/2024,541.7156103454477,557.6819535753848,520.617201288591,522.8981323242188,522.8981323242188,12590
06/02/2024,517.7661016221233,566.577518638809,515.4852284382488,537.7810668945312,537.7810668945312,21682
07/02/2024,538.8645054344895,546.8477064953738,507.21691909757124,508.6424865722656,508.6424865722656,6840
08/02/2024,510.3531130577724,517.1958479626371,500.65924344308775,514.9149169921875,514.9149169921875,6200
09/02/2024,503.5103904129358,506.9317869519182,477.8501773997529,478.42041015625,478.42041015625,7068
12/02/2024,473.2883850507564,490.9653979163224,447.05793863283685,477.8501892089844,477.8501892089844,18863
13/02/2024,502.94019908896865,512.6340691792575,462.45407842253235,477.8501892089844,477.8501892089844,28027
14/02/2024,464.1647323914389,481.27154092431687,451.619756869274,455.611328125,455.611328125,11578
15/02/2024,456.7517962852565,474.4288376727001,455.6113307751339,471.2925720214844,471.2925720214844,11647
16/02/2024,452.76020240607977,473.85861161902557,448.82565144667495,471.0074768066406,471.0074768066406,21740
20/02/2024,482.9822354935089,534.3026607004736,482.41200274611634,501.7997131347656,501.7997131347656,50503
21/02/2024,536.0133308127955,561.1033397130096,521.8146774954738,543.42626953125,543.42626953125,55403
22/02/2024,420.8274814941009,433.94271887056436,364.94525146484375,364.94525146484375,364.94525146484375,47955
23/02/2024,344.41709734989337,374.06891253368826,329.02098596862055,360.95367431640625,360.95367431640625,68232
26/02/2024,355.8216251464078,365.5154952831219,346.12778401293735,358.6727600097656,358.6727600097656,60015
27/02/2024,357.5323005339804,376.9200105606227,356.7339573005921,362.6643371582031,362.6643371582031,66390
28/02/2024,374.0688712210042,377.4902385956192,361.8089980482719,372.92840576171875,372.92840576171875,35535
29/02/2024,359.2429691684605,366.6559077246082,350.97466700693735,359.8132019042969,359.8132019042969,30728
01/03/2024,351.25981158231366,355.82161564051864,331.30186807199175,331.8721008300781,331.8721008300781,21548
04/03/2024,317.0461903058649,319.3270923074122,289.6752792775698,309.0630187988281,309.0630187988281,26343
05/03/2024,307.92256428111995,321.03777301031465,302.2202945722103,302.79052734375,302.79052734375,25208
06/03/2024,288.5348502189417,294.8073526373793,276.27497626663916,282.83258056640625,282.83258056640625,27993
07/03/2024,273.70894492935486,277.13031254162047,257.7426014097732,258.31280517578125,258.31280517578125,34703
08/03/2024,244.6273786383453,292.2413392190783,232.08238746487524,286.25396728515625,286.25396728515625,136543
11/03/2024,295.94780324166567,308.49280867520037,278.8409934704336,297.943603515625,297.943603515625,101968
12/03/2024,282.2623601575392,295.37756933123813,255.46168001603058,255.74681091308594,255.74681091308594,67037
13/03/2024,260.02350389263364,274.8494109002815,258.31280558218765,261.1639404296875,261.1639404296875,46402
14/03/2024,269.14715649503484,286.53906845148884,263.1597555732059,277.7005615234375,277.7005615234375,52645
15/03/2024,285.1135010715961,289.39020358767004,268.5769238100925,279.1261291503906,279.1261291503906,40735
18/03/2024,264.5852986610656,283.97300913562896,250.7858169298763,275.9898376464844,275.9898376464844,49727
19/03/2024,286.8241428047751,297.08824525504906,262.874628427287,270.2875671386719,270.2875671386719,58445
20/03/2024,267.43644330650886,276.8451825170928,263.44487191581084,264.01507568359375,264.01507568359375,38405
21/03/2024,252.6105186506017,263.4448535344276,250.32961672888524,257.7425842285156,257.7425842285156,90195
22/03/2024,260.0234918415492,260.59372458526974,239.21019971844302,242.34645080566406,242.34645080566406,62318
25/03/2024,242.91668272511976,245.76781743080605,229.7444398047843,238.0697479248047,238.0697479248047,68762
26/03/2024,233.79305918568116,250.3296356201172,231.22704070469928,250.3296356201172,250.3296356201172,65225
27/03/2024,248.04872706065086,268.57690337666367,246.90826154183347,262.8746337890625,262.8746337890625,73917
28/03/2024,264.87045275202644,269.14715524638694,257.17238246152846,263.44488525390625,263.44488525390625,44253
01/04/2024,262.8746524540092,269.14715524638694,252.04034526894486,263.44488525390625,263.44488525390625,41690
02/04/2024,274.27918599461077,278.5558883884875,264.01508284736,268.0066833496094,268.0066833496094,45257
03/04/2024,274.2791554203028,274.2791554203028,262.30438425164476,270.8577880859375,270.8577880859375,32345
04/04/2024,261.7341662031802,290.2455139160156,260.59372969661246,290.2455139160156,290.2455139160156,58167
05/04/2024,282.8325794696704,289.10508186378524,272.85360761642875,275.7047424316406,275.7047424316406,49023
08/04/2024,271.42804105509833,283.9730168791984,270.8578082896294,281.4070129394531,281.4070129394531,34582
09/04/2024,278.8409525721281,307.9225307184032,277.7005161565968,292.8115234375,292.8115234375,74515
10/04/2024,303.36075688568224,303.9309606479079,278.84097999646457,281.4070129394531,281.4070129394531,82295
11/04/2024,278.27074907688007,281.6921166891457,257.17236864052165,258.31280517578125,258.31280517578125,61483
12/04/2024,263.4448614263092,275.93281649866594,261.1639304330226,271.713134765625,271.713134765625,61857
15/04/2024,266.2959763267937,285.6836853027344,257.17234004304515,285.6836853027344,285.6836853027344,60123
16/04/2024,282.8325605686895,285.1134624677835,271.4280220699781,276.56005859375,276.56005859375,58763
17/04/2024,270.85781044484105,297.65848960594377,268.0066755980532,297.0882568359375,297.0882568359375,58015
18/04/2024,291.95620092168497,308.4927761567618,282.83256420477454,293.6668701171875,293.6668701171875,51820
19/04/2024,305.6416578254181,356.39185170798686,295.37755509428223,351.8300476074219,351.8300476074219,139403
22/04/2024,335.2934430364052,350.68958265678066,317.04619760092515,321.6080017089844,321.6080017089844,99387
23/04/2024,311.91416383988275,315.4495722100294,294.80735475915594,297.0882568359375,297.0882568359375,62105
24/04/2024,286.25393014779934,321.03774963711186,285.68369741777553,318.1866149902344,318.1866149902344,96840
25/04/2024,325.02935905021275,329.59116301453287,289.1050730722756,294.8073425292969,294.8073425292969,143063
26/04/2024,286.25394387460517,289.10507865820387,254.3212284976513,257.17236328125,257.17236328125,99085
29/04/2024,258.88303794503275,272.56847939085185,257.05832788732005,258.31280517578125,258.31280517578125,66600
30/04/2024,261.16392942072906,266.29599513248934,252.04032149591586,266.0108642578125,266.0108642578125,90695
01/05/2024,273.70894393321976,297.6584881286738,269.14713980229675,287.1092834472656,287.1092834472656,202208
02/05/2024,277.41542281548936,285.68372571161547,265.15554842035823,268.0066833496094,268.0066833496094,73497
03/05/2024,255.46168274107856,259.45328331647613,246.33807400287526,249.189208984375,249.189208984375,98185
06/05/2024,246.33805500705125,247.47849150976197,230.3146625649445,230.65679931640625,230.65679931640625,77510
