AMD
AMZN
BTC
BTC-USD
DJI
GOOG
HIMS
INTC
IWM
MAGS
MSFT
MSTU
NDX
NDX]
NVDA
NVDL
NVDQ
NVDU
PLTU
PPP
PREDICTEDQLD
PTIR
QBTS
QLD
QQQ
RANDOM
RUT
SLARL.TA
SMH
SOFI
SOXL
SOXX
SPXL
SPY
SPYU
SSMI
SSO
SUI
TA125
TA125.TA
TEST
TNA
TQQQ
UPRO
UWM
VOO
XLU
^NDX
